Age,Earnings Past 12 Months,Usual Weekly Hours,Female,Married,No High School Degree,High School Degree or GED,Some College,Associates Degree,Bachelors Degree,Masters Degree,Professional Degree,Doctorate,Employed,White,Black,American Indian or Native American,Asian,Hawaiian or Pacific Islander,Other Race,Biracial,Hispanic,Worked 40+ Weeks During Past 12 Months,Worked 35+ Hours in a Typical Week
61,040000,50,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,01
52,000000,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,00
59,000000,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00
48,014700,20,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,00
50,000000,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,00
54,000000,,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
25,025000,40,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,01
63,058000,40,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
64,000000,,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,00
63,000000,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
64,000000,,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
46,000000,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,00
59,052000,44,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
63,000000,,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,00
64,014300,12,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,00
50,000000,40,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
64,000000,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
57,000000,60,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
56,020000,40,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,01
40,000000,,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
50,000000,,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
56,000000,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
60,000000,,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,00
57,058000,40,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
52,045000,40,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,01
55,035000,30,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,00
64,000000,,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,00
64,000000,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
58,000000,,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
58,031600,40,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
52,110000,30,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
54,030000,45,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,01
27,000000,80,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
56,000000,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
54,060000,40,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
61,000000,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
64,000000,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
64,000000,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
55,000000,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
38,030000,40,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,01
61,000000,35,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,01
58,008000,35,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,01
58,000000,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
54,000000,40,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
54,000000,,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,00
61,000000,40,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,01
56,000000,,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
57,060000,60,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
57,000000,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
46,031600,40,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
56,074000,38,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
64,000000,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
52,072000,50,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,01
29,027000,45,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
61,000000,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,00
60,015600,07,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,00
62,000000,,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
31,055000,45,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
61,000000,,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
49,004600,25,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,00
32,000000,,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
63,000000,,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
22,003100,25,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,00
64,000000,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,00
58,050000,70,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,01
